TeamModel,CoachModel,SquadModel,PlayoffModel,AccuracyScore,ManualAccuracy
GradientBoosting,LinearRegression,RandomForest,RandomForest,86.66666666666667,100.0
GradientBoosting,DecisionTree,GradientBoosting,ExtraTrees,60.0,100.0
GradientBoosting,DecisionTree,AdaBoost,KNN,86.66666666666667,86.66666666666667
RandomForest,RandomForest,RandomForest,KNN,73.33333333333333,86.66666666666667
LinearRegression,LinearRegression,LinearRegression,RandomForest,73.33333333333333,86.66666666666667
DecisionTree,DecisionTree,RandomForest,DecisionTree,73.33333333333333,86.66666666666667
AdaBoost,AdaBoost,RandomForest,DecisionTree,60.0,86.66666666666667
RandomForest,AdaBoost,AdaBoost,AdaBoost,46.666666666666664,86.66666666666667
RandomForest,AdaBoost,AdaBoost,NaiveBayes,46.666666666666664,86.66666666666667
LinearRegression,GradientBoosting,GradientBoosting,LogisticRegression,46.666666666666664,86.66666666666667
LinearRegression,GradientBoosting,GradientBoosting,GradientBoosting,46.666666666666664,86.66666666666667
LinearRegression,GradientBoosting,DecisionTree,MLPClassifier,33.33333333333333,86.66666666666667
LinearRegression,GradientBoosting,DecisionTree,QuadraticDiscriminantAnalysis,33.33333333333333,86.66666666666667
RandomForest,RandomForest,RandomForest,SVC,86.66666666666667,73.33333333333333
RandomForest,RandomForest,RandomForest,LogisticRegression,86.66666666666667,73.33333333333333
GradientBoosting,AdaBoost,GradientBoosting,SVC,86.66666666666667,73.33333333333333
DecisionTree,DecisionTree,RandomForest,LogisticRegression,86.66666666666667,73.33333333333333
RandomForest,RandomForest,RandomForest,RandomForest,73.33333333333333,73.33333333333333
GradientBoosting,GradientBoosting,GradientBoosting,GradientBoosting,73.33333333333333,73.33333333333333
GradientBoosting,AdaBoost,RandomForest,KNN,73.33333333333333,73.33333333333333
GradientBoosting,AdaBoost,RandomForest,ExtraTrees,73.33333333333333,73.33333333333333
GradientBoosting,AdaBoost,GradientBoosting,KNN,73.33333333333333,73.33333333333333
GradientBoosting,AdaBoost,GradientBoosting,LogisticRegression,73.33333333333333,73.33333333333333
GradientBoosting,AdaBoost,GradientBoosting,GradientBoosting,73.33333333333333,73.33333333333333
GradientBoosting,AdaBoost,LinearRegression,DecisionTree,73.33333333333333,73.33333333333333
GradientBoosting,AdaBoost,LinearRegression,SVC,73.33333333333333,73.33333333333333
GradientBoosting,AdaBoost,LinearRegression,LogisticRegression,73.33333333333333,73.33333333333333
GradientBoosting,AdaBoost,LinearRegression,ExtraTrees,73.33333333333333,73.33333333333333
GradientBoosting,LinearRegression,RandomForest,ExtraTrees,73.33333333333333,73.33333333333333
AdaBoost,GradientBoosting,AdaBoost,KNN,73.33333333333333,73.33333333333333
AdaBoost,GradientBoosting,AdaBoost,RandomForest,73.33333333333333,73.33333333333333
AdaBoost,GradientBoosting,DecisionTree,AdaBoost,73.33333333333333,73.33333333333333
AdaBoost,GradientBoosting,DecisionTree,NaiveBayes,73.33333333333333,73.33333333333333
AdaBoost,DecisionTree,AdaBoost,ExtraTrees,73.33333333333333,73.33333333333333
AdaBoost,DecisionTree,LinearRegression,MLPClassifier,73.33333333333333,73.33333333333333
AdaBoost,DecisionTree,LinearRegression,QuadraticDiscriminantAnalysis,73.33333333333333,73.33333333333333
LinearRegression,GradientBoosting,AdaBoost,KNN,73.33333333333333,73.33333333333333
LinearRegression,GradientBoosting,AdaBoost,DecisionTree,73.33333333333333,73.33333333333333
LinearRegression,GradientBoosting,AdaBoost,RandomForest,73.33333333333333,73.33333333333333
LinearRegression,LinearRegression,LinearRegression,KNN,73.33333333333333,73.33333333333333
LinearRegression,LinearRegression,LinearRegression,DecisionTree,73.33333333333333,73.33333333333333
LinearRegression,LinearRegression,LinearRegression,AdaBoost,73.33333333333333,73.33333333333333
LinearRegression,LinearRegression,LinearRegression,NaiveBayes,73.33333333333333,73.33333333333333
LinearRegression,DecisionTree,RandomForest,KNN,73.33333333333333,73.33333333333333
LinearRegression,DecisionTree,RandomForest,DecisionTree,73.33333333333333,73.33333333333333
DecisionTree,GradientBoosting,DecisionTree,RandomForest,73.33333333333333,73.33333333333333
DecisionTree,AdaBoost,RandomForest,QuadraticDiscriminantAnalysis,73.33333333333333,73.33333333333333
DecisionTree,DecisionTree,RandomForest,GradientBoosting,73.33333333333333,73.33333333333333
DecisionTree,DecisionTree,RandomForest,MLPClassifier,73.33333333333333,73.33333333333333
RandomForest,GradientBoosting,GradientBoosting,KNN,60.0,73.33333333333333
RandomForest,LinearRegression,DecisionTree,RandomForest,60.0,73.33333333333333
RandomForest,DecisionTree,DecisionTree,MLPClassifier,60.0,73.33333333333333
RandomForest,DecisionTree,DecisionTree,QuadraticDiscriminantAnalysis,60.0,73.33333333333333
GradientBoosting,RandomForest,RandomForest,SVC,60.0,73.33333333333333
GradientBoosting,RandomForest,RandomForest,LogisticRegression,60.0,73.33333333333333
GradientBoosting,RandomForest,RandomForest,GradientBoosting,60.0,73.33333333333333
GradientBoosting,RandomForest,GradientBoosting,LogisticRegression,60.0,73.33333333333333
GradientBoosting,RandomForest,AdaBoost,SVC,60.0,73.33333333333333
