tmIDString,confID,playoff,playoff_prob,predicted_playoff
CHI,0,0,0.6118786826036583,0
CON,0,1,0.6222848698760381,1
DET,0,1,0.6222848657599174,1
HOU,1,0,0.6212441341898045,1
IND,0,1,0.6222846892670525,1
LAS,1,0,0.6233249938038892,1
MIN,1,0,0.6115382800871849,0
NYL,0,1,0.612597298610742,1
PHO,1,1,0.6167977342770037,0
SAC,1,1,0.6218710193162663,1
SAS,1,1,0.6207094705973022,1
SEA,1,1,0.6197384056742152,0
WAS,0,0,0.5734455559369261,0
