,year,tmID,coach_rating,team_rating,playoff,confID,top10_mean
0,1,1,45.63286979857981,0.0,0,0,0.0
1,1,3,45.63286979857981,99.0,1,0,0.0
2,1,5,45.63286979857981,0.0,0,0,0.0
3,1,6,45.63286979857981,99.0,1,1,0.0
4,1,7,45.63286979857981,0.0,0,0,0.0
5,1,8,45.63286979857981,99.0,1,1,0.0
6,1,9,45.63286979857981,0.0,0,0,0.0
7,1,10,45.63286979857981,0.0,0,1,0.0
8,1,11,45.63286979857981,99.0,1,0,0.0
9,1,12,45.63286979857981,99.0,1,0,0.0
10,1,13,45.63286979857981,99.0,1,1,0.0
11,1,14,45.63286979857981,0.0,0,1,0.0
12,1,15,45.63286979857981,99.0,1,1,0.0
13,1,17,45.63286979857981,0.0,0,1,0.0
14,1,18,45.63286979857981,0.0,0,1,0.0
15,1,19,45.63286979857981,99.0,1,0,0.0
16,2,1,45.63286979857981,99.0,1,0,0.0
17,2,3,45.63286979857981,99.0,1,0,0.0
18,2,5,45.63286979857981,0.0,0,0,0.0
19,2,6,45.63286979857981,99.0,1,1,0.0
20,2,7,45.63286979857981,0.0,0,0,0.8323913043478262
21,2,8,45.63286979857981,99.0,1,1,0.0
22,2,9,45.63286979857981,99.0,1,0,1.0673076923076923
23,2,10,45.63286979857981,0.0,0,1,0.0
24,2,11,45.63286979857981,99.0,1,0,0.0
25,2,12,45.63286979857981,0.0,0,0,0.0
26,2,13,45.63286979857981,0.0,0,1,1.4444444444444444
27,2,14,45.63286979857981,0.0,0,1,0.0
28,2,15,45.63286979857981,99.0,1,1,0.0
29,2,17,45.63286979857981,0.0,0,1,1.088695652173913
30,2,18,45.63286979857981,99.0,1,1,0.0
31,2,19,45.63286979857981,8.91,0,0,0.0
32,3,1,71.27741611696568,99.0,1,0,11.726965848646035
33,3,3,16.55054876134859,0.99,0,0,10.026502896974312
34,3,5,45.63286979857981,8.91,0,0,9.950811507936509
35,3,6,94.57210343993528,99.0,1,1,13.225998754115258
36,3,7,45.63286979857981,99.0,1,0,10.903738376141916
37,3,8,94.28588703120631,99.0,1,1,17.710382224462364
38,3,9,18.045476440995028,0.99,0,0,10.115500671409919
39,3,10,45.63286979857981,0.0,0,1,7.21711058991684
40,3,11,93.48062904678017,99.0,1,0,14.138199736518965
41,3,12,45.63286979857981,0.99,0,0,15.486502941729048
42,3,13,45.63286979857981,2.9699999999999998,0,1,11.397778810752417
43,3,14,17.27969723525274,1.98,0,1,10.113565325509636
44,3,15,45.63286979857981,0.99,0,1,17.532757567383833
45,3,17,86.9044707685531,99.0,1,1,9.22294009264759
46,3,18,45.63286979857981,14.85,1,1,14.246013141568017
47,3,19,45.63286979857981,62.37,1,0,8.378479445466711
